"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetId";"VNetResourceGroup";"Location";"AddressSpaceAddressPrefixes";"DhcpoptionsDnsservers";"SubnetsCount";"SubnetsWithNSGCount";"SubnetsWithRouteTableCount";"SubnetsWithDelegationsCount";"PrivateEndpointsCount";"SubnetsWithPrivateEndPointsCount";"ConnectedDevices";"SubnetsWithConnectedDevicesCount";"DdosProtection";"PeeringsCount";"PeeringXTenant";"PeeringName";"PeeringState";"PeeringSyncLevel";"AllowVirtualNetworkAccess";"AllowForwardedTraffic";"AllowGatewayTransit";"UseRemoteGateways";"DoNotVerifyRemoteGateways";"PeerCompleteVnets";"RouteServiceVips";"RemotePeeringsCount";"RemotePeeringName";"RemotePeeringState";"RemotePeeringSyncLevel";"RemoteAllowVirtualNetworkAccess";"RemoteAllowForwardedTraffic";"RemoteAllowGatewayTransit";"RemoteUseRemoteGateways";"RemoteDoNotVerifyRemoteGateways";"RemotePeerCompleteVnets";"RemoteRouteServiceVips";"RemoteSubscriptionName";"RemoteSubscription";"RemoteMGPath";"RemoteVNet";"RemoteVNetId";"RemoteVNetState";"RemoteVNetResourceGroup";"RemoteVNetLocation";"RemoteAddressSpaceAddressPrefixes";"RemoteVirtualNetworkAddressSpaceAddressPrefixes";"RemoteDhcpoptionsDnsservers";"RemoteSubnetsCount";"RemoteSubnetsWithNSGCount";"RemoteSubnetsWithRouteTable";"RemoteSubnetsWithDelegations";"RemotePrivateEndPoints";"RemoteSubnetsWithPrivateEndPoints";"RemoteConnectedDevices";"RemoteSubnetsWithConnectedDevices";"RemoteDdosProtection"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sandbox";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-sandbox/providers/Microsoft.Network/virtualNetworks/mlz-vnet-sandbox";"mlz-rg-sandbox";"usgovvirginia";"10.0.122.0/24";"";"3";"3";"3";"0";"1";"1";"4";"3";"False";"1";"false";"MLZsandbox-to-hub";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"5";"MLZhub-to-sandbox";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"existent";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-sharedServices-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-sharedServices-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-sharedServices-test";"mlz-rg-sharedServices-test";"usgovvirginia";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1";"false";"to-mlz-vnet-hub-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"5";"to-mlz-vnet-sharedServices-test";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"mlz-vnet-hub-test";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/mlz-rg-hub-test/providers/Microsoft.Network/virtualNetworks/mlz-vnet-hub-test";"existent";"mlz-rg-hub-test";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"4";"1";"2";"0";"1";"1";"17";"4";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False";"3";"false";"to-scanny-vnet-sharedServices-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-sharedServices-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-sharedServices-dev";"existent";"scanny-rg-sharedServices-dev";"usgovvirginia";"10.0.120.0/26";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False";"3";"false";"to-scanny-vnet-operations-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-operations-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-operations-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-operations-dev";"existent";"scanny-rg-operations-dev";"usgovvirginia";"10.0.115.0/26";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False";"3";"false";"to-scanny-vnet-identity-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"1";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-identity-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-identity-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-identity-dev";"existent";"scanny-rg-identity-dev";"usgovvirginia";"10.0.110.0/26";"10.0.110.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-identity-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-identity-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-identity-dev";"scanny-rg-identity-dev";"usgovvirginia";"10.0.110.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1";"false";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"3";"to-scanny-vnet-identity-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"existent";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-operations-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-operations-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-operations-dev";"scanny-rg-operations-dev";"usgovvirginia";"10.0.115.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1";"false";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"3";"to-scanny-vnet-operations-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"existent";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-sharedServices-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-sharedServices-dev";"scanny-rg-sharedServices-dev";"usgovvirginia";"10.0.120.0/26";"";"1";"1";"1";"0";"0";"0";"0";"0";"False";"1";"false";"to-scanny-vnet-hub-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"3";"to-scanny-vnet-sharedServices-dev";"Connected";"FullyInSync";"True";"True";"False";"False";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-hub-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-hub-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-hub-dev";"existent";"scanny-rg-hub-dev";"usgovvirginia";"10.0.100.0/24";"10.0.100.0/24";"";"3";"1";"2";"0";"1";"1";"15";"3";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"10.82.0.0/20";"";"7";"0";"3";"0";"0";"0";"7";"4";"False";"3";"false";"hub-to-tier0";"Connected";"FullyInSync";"True";"True";"True";"False";"False";"True";"";"1";"tier0-to-hub";"Connected";"FullyInSync";"True";"True";"False";"True";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va01-tier0-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va01-tier0-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va01-tier0-vnet";"existent";"serg-obfuscation-lz-spoke-va01-tier0-rg";"usgovvirginia";"10.82.16.0/20";"10.82.16.0/20";"";"1";"0";"0";"0";"0";"0";"0";"0";"False"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"10.82.0.0/20";"";"7";"0";"3";"0";"0";"0";"7";"4";"False";"3";"false";"hub-to-tier1";"Connected";"FullyInSync";"True";"True";"True";"False";"False";"True";"";"1";"tier1-to-hub";"Connected";"FullyInSync";"True";"True";"False";"True";"False";"True";"";"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va02-tier1-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va02-tier1-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va02-tier1-vnet";"existent";"serg-obfuscation-lz-spoke-va02-tier1-rg";"usgovvirginia";"10.82.32.0/20";"10.82.32.0/20";"";"1";"0";"0";"0";"0";"0";"0";"0";"False"
