"subscriptionId";"mgPath";"type";"id";"name";"location";"tags";"createdTime";"changedTime";"cafResourceNamingResult";"cafResourceNaming";"cafResourceNamingFriendlyName"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.compute/virtualmachines/sh-scanlan-2/extensions/mde.windows";"sh-scanlan-2/mde.windows";"usgovvirginia";;"12/9/2022 2:15:41 AM";"12/9/2022 2:27:04 AM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.compute/virtualmachines/sh-scanlan-2/extensions/microsoft.powershell.dsc";"sh-scanlan-2/microsoft.powershell.dsc";"usgovvirginia";;"12/8/2022 11:00:18 PM";"12/8/2022 11:19:11 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.compute/virtualmachines/extensions";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.compute/virtualmachines/sh-scanlan-2/extensions/microsoftmonitoringagent";"sh-scanlan-2/microsoftmonitoringagent";"usgovvirginia";;"12/12/2022 6:13:53 PM";"12/12/2022 6:25:04 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.desktopvirtualization/applicationgroups";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.desktopvirtualization/applicationgroups/avd-scanlan-dag";"avd-scanlan-dag";"usgovvirginia";"";"12/8/2022 10:56:42 PM";"12/8/2022 11:06:44 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.desktopvirtualization/hostpools";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.desktopvirtualization/hostpools/avd-scanlan";"avd-scanlan";"usgovvirginia";"";"12/8/2022 10:56:40 PM";"1/23/2023 3:58:48 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.desktopvirtualization/scalingplans";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.desktopvirtualization/scalingplans/avd-scanlan-scaleplan";"avd-scanlan-scaleplan";"usgovvirginia";"";"2/2/2023 8:38:32 PM";"2/2/2023 8:48:34 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.desktopvirtualization/workspaces";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.desktopvirtualization/workspaces/avd-workspace-scanlan";"avd-workspace-scanlan";"usgovvirginia";;"12/8/2022 10:56:48 PM";"12/8/2022 11:06:49 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.devtestlab/schedules";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.devtestlab/schedules/shutdown-computevm-sh-scanlan-0";"shutdown-computevm-sh-scanlan-0";"usgovvirginia";;"12/12/2022 4:58:55 PM";"12/12/2022 5:08:55 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.devtestlab/schedules";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.devtestlab/schedules/shutdown-computevm-sh-scanlan-1";"shutdown-computevm-sh-scanlan-1";"usgovvirginia";;"12/12/2022 4:59:09 PM";"12/12/2022 5:09:10 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.devtestlab/schedules";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.devtestlab/schedules/shutdown-computevm-sh-scanlan-2";"shutdown-computevm-sh-scanlan-2";"usgovvirginia";;"12/12/2022 4:59:22 PM";"12/12/2022 5:09:23 PM";"n/a";"n/a";"n/a"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/networkinterfaces";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/networkinterfaces/sh-scanlan-0-nic";"sh-scanlan-0-nic";"usgovvirginia";"";"12/8/2022 10:57:08 PM";"12/8/2022 11:07:11 PM";"failed";"nic-";"Network interface (NIC)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/networkinterfaces";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/networkinterfaces/sh-scanlan-1-nic";"sh-scanlan-1-nic";"usgovvirginia";"";"12/8/2022 10:57:08 PM";"12/8/2022 11:07:08 PM";"failed";"nic-";"Network interface (NIC)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/networkinterfaces";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/networkinterfaces/sh-scanlan-2-nic";"sh-scanlan-2-nic";"usgovvirginia";"";"12/8/2022 10:57:08 PM";"12/8/2022 11:07:09 PM";"failed";"nic-";"Network interface (NIC)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/networksecuritygroups";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/networksecuritygroups/mlz-nsg-avd";"mlz-nsg-avd";"usgovvirginia";"";"12/8/2022 6:56:55 PM";"12/8/2022 7:07:04 PM";"failed";"nsg-";"Network security group (NSG)"
"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878/a3ad3fff-f3c5-46cf-ac18-d384307648f8";"microsoft.network/routetables";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourcegroups/mlz-rg-avd-test/providers/microsoft.network/routetables/mlz-snet-avd-routetable";"mlz-snet-avd-routetable";"usgovvirginia";;"12/8/2022 7:30:51 PM";"12/8/2022 7:40:59 PM";"failed";"rt-";"Route table"
