"SubscriptionName";"Subscription";"MGPath";"VNet";"VNetId";"VNetResourceGroup";"Location";"SubnetName";"SubnetId";"SubnetNet";"SubnetPrefix";"Subnetmask";"Range";"ConnectedDevices";"AvailableIPAddresses";"UsedIPAddressesPercent";"SubnetIPAddressUsageCritical";"PrivateEndpointNetworkPolicies";"PrivateLinkServiceNetworkPolicies";"ServiceEndpointsCount";"ServiceEndpoints";"Delegation";"NetworkSecurityGroup";"RouteTable";"NatGateway";"PrivateEndpoints"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"scanny-vnet-sharedServices-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-sharedServices-dev";"scanny-rg-sharedServices-dev";"usgovvirginia";"scanny-snet-sharedServices-dev";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/virtualNetworks/scanny-vnet-sharedServices-dev/subnets/scanny-snet-sharedServices-dev";"10.0.120.0";"27";"255.255.255.224";"10.0.120.0 - 10.0.120.31";"0";"27";"0 %";"False";"Disabled";"Enabled";"1";"Microsoft.Storage (usgoviowa, usgovtexas, usgovvirginia)";"";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/networkSecurityGroups/scanny-nsg-sharedServices-dev";"@{id=/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/scanny-rg-sharedServices-dev/providers/Microsoft.Network/routeTables/scanny-snet-sharedServices-dev-routetable}";"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"AzureBastionSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/AzureBastionSubnet";"10.82.0.0";"26";"255.255.255.192";"10.82.0.0 - 10.82.0.63";"1";"58";"1.7 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"AzureFirewallManagementSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/AzureFirewallManagementSubnet";"10.82.0.192";"26";"255.255.255.192";"10.82.0.192 - 10.82.0.255";"4";"55";"6.8 %";"False";"Enabled";"Enabled";"0";"";"";;"@{id=/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/routeTables/317c8e2c-b552-4ee8-ba71-b0433c387345}";"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"AzureFirewallSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/AzureFirewallSubnet";"10.82.0.128";"26";"255.255.255.192";"10.82.0.128 - 10.82.0.191";"1";"58";"1.7 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"GatewaySubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/GatewaySubnet";"10.82.0.64";"26";"255.255.255.192";"10.82.0.64 - 10.82.0.127";"1";"58";"1.7 %";"False";"Enabled";"Enabled";"0";"";"";;"@{id=/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/routeTables/serg-obfuscation-lz-spoke-va01-hub-gatewaysubnet-rt}";"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"JumpBoxSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/JumpBoxSubnet";"10.82.1.64";"26";"255.255.255.192";"10.82.1.64 - 10.82.1.127";"0";"59";"0 %";"False";"Enabled";"Enabled";"0";"";"";;"@{id=/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/routeTables/serg-obfuscation-lz-spoke-va01-hub-jbsubnet-rt}";"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"NATGateway";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/NATGateway";"10.82.1.128";"26";"255.255.255.192";"10.82.1.128 - 10.82.1.191";"0";"59";"0 %";"False";"Disabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-hub-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet";"serg-obfuscation-lz-hub-rg";"usgovvirginia";"RouteServerSubnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-hub-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-hub-vnet/subnets/RouteServerSubnet";"10.82.1.0";"26";"255.255.255.192";"10.82.1.0 - 10.82.1.63";"0";"59";"0 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va01-tier0-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va01-tier0-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va01-tier0-vnet";"serg-obfuscation-lz-spoke-va01-tier0-rg";"usgovvirginia";"Tier0-01-ClassC";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va01-tier0-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va01-tier0-vnet/subnets/Tier0-01-ClassC";"10.82.16.0";"24";"255.255.255.0";"10.82.16.0 - 10.82.16.255";"0";"251";"0 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
"MTNNet Main Subscription";"a3ad3fff-f3c5-46cf-ac18-d384307648f8";"80c5c29b-f6c2-457b-af54-603a8d840878";"serg-obfuscation-lz-spoke-va02-tier1-vnet";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va02-tier1-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va02-tier1-vnet";"serg-obfuscation-lz-spoke-va02-tier1-rg";"usgovvirginia";"Tier1-ClassC";"/subscriptions/a3ad3fff-f3c5-46cf-ac18-d384307648f8/resourceGroups/serg-obfuscation-lz-spoke-va02-tier1-rg/providers/Microsoft.Network/virtualNetworks/serg-obfuscation-lz-spoke-va02-tier1-vnet/subnets/Tier1-ClassC";"10.82.32.0";"24";"255.255.255.0";"10.82.32.0 - 10.82.32.255";"0";"251";"0 %";"False";"Enabled";"Enabled";"0";"";"";;;"";"0"
